city_code,city,week,new case,growth rate,Wuhan flow,Wuhan flow_lag,Hubei/non-Wuhan flow,Hubei/non Wuhan flow_lag,non-Hubei flow,non-Hubei flow_lag,City internal flow index,City internal flow index_lag,City internal flow,City internal flow_lag,Doctors,COVID-19 Hospitals,Hospitals,Beds,Outpatients,Population,Density,GDP,Income,Aging,Highest Temperature,Lowest Temperature,Average Temperature,Relative Humidity,Absolute Humidity,ILI
441700,Yangjiang,1,3,2.33,1468.291726,802.6659543,0,0,13545.36,6164.794286,5.300571429,5.082028571,51227.33958,41170.85109,5201,1,51,10119,826.4705888,255.56,310,1350.31,5.283729848,8.263458892,21.14285714,16.71428571,18.92857143,73.57142857,11.93560943,0.040242651
441800,Qingyuan,1,1,5,1818.411074,1346.033835,31.3801563,96.22289047,34253.712,19375.70914,4.727242857,4.645185714,43769.85459,40321.63551,7493,1,57,11005,1252.835757,387.4,193,1565.19,4.040242643,8.263458892,21.42857143,16.57142857,19,60.35714286,9.83321265,0.021099448
442000,Zhongshan,1,2,8,3033.828313,2972.995864,1773.821956,1563.73016,16313.022,22702.72629,2.582557143,4.531871429,4379.437272,30760.59614,8115,1,59,15140,1070.440464,331,1734,3632.7,10.97492447,8.263458892,21.42857143,17.85714286,19.64285714,65.57142857,11.09474615,0.073498306
450200,Liuzhou,1,2,4.5,3595.635182,4723.139659,6.302148272,117.329725,14752.53,11982.95486,5.2184,5.385828571,72428.15458,85628.97087,10330,2,64,17890,782.9614322,392.27,196,2476.94,6.314375303,10.026516,15,9.714285714,12.35714286,75.35714286,8.208438607,0.037814041
450300,Guilin,1,2,8,7201.993162,6612.221221,475.2012204,2934.747061,23216.166,17117.568,5.567057143,5.374014286,129826.6786,107035.1689,11614,2,66,15738,990.3233595,496.16,176,2074,4.180103193,10.026516,12.14285714,6.428571429,9.285714286,80.35714286,7.213065442,0.055613586
450400,Wuzhou,1,1,3,1829.56758,1739.262653,0,0,17618.742,9647.516571,6.0847,5.244728571,131700.0747,56857.93266,5645,1,37,9988,598.6729854,299.94,242,1180,3.934120157,10.026516,19.85714286,14.57142857,17.21428571,66.35714286,9.722099282,0.047307867
450500,Beihai,1,6,1.83,6222.969884,3858.500687,6.060534375,2.904413477,8437.77,5907.723429,5.198214286,5.344542857,29416.85135,34052.255,3514,2,25,5793,324.4857879,162.57,386,985,6.058928462,10.026516,19.57142857,16.42857143,18,78.5,12.05323395,0.01981779
451000,Baise,1,1,1,260.5181295,779.0004096,0,0,16285.59,12471.82457,6.282114286,5.8305,192394.1152,122478.0298,9116,2,34,11026,717.8926207,359.67,99,1114,3.097283621,10.026516,21.14285714,10.57142857,15.85714286,71.14285714,9.605807666,0.093737989
451200,Hechi,1,1,5,917.6151831,1403.563491,6.179133366,0,19456.362,12050.208,6.479842857,5.431557143,226641.6407,79446.543,6286,1,34,11679,693.9608707,347.68,113,657.18,1.890186378,10.026516,15.14285714,9.857142857,12.5,81,8.901832751,0.045455424
460100,Haikou,1,3,2,5918.0153,6428.666894,100.4618579,98.77592291,16513.632,16817.17371,4.773557143,5.594671429,19553.22641,44445.09434,12417,1,123,12860,998.410149,165.23,4050,1510.51,9.141862858,8.213632802,23.71428571,18.57142857,21.14285714,79.85714286,14.74845884,0.030441344
