Week,City Code,City,New Cases,non-Hubei flow,Wuhan flow(Previous week),Relative Humidity,Hospitals,,,,,,
2,450400,Wuzhou,3,-1.59,-17.59,-0.14,-6.32,-1.92,,,,,
2,450500,Beihai,11,4.51,-16.84,1.71,-6.53,-2.11,,,,,
2,450600,Fangchenggang,7,-0.53,-21.21,-0.15,-5.89,-1.68,,,,,
2,450700,Qinzhou,1,-1.59,-17.59,-0.14,-6.32,-1.92,,,,,
2,450900,Yulin,4,-1.59,-17.47,-0.14,-5.86,-2.49,,,,,
2,451000,Baise,1,-1.59,-17.59,-0.14,-6.32,-1.92,,,,,
2,451100,Hezhou,1,-1.2,-17.58,-0.14,-6.32,-1.92,,,,,
2,451200,Hechi,5,-1.9,-17.5,0.04,-6.32,-1.92,,,,,
2,460100,Haikou,6,-3.98,-19.43,-3.3,-5.85,10.12,,,,,
2,460200,Sanya,12,-1.92,-16.86,10.91,-5.83,-1.79,,,,,
2,460400,Danzhou,5,3.66,-21.2,0.52,-6.83,-1.85,,,,,
2,500000,Chongqing,179,3.77,10.19,-5,118.66,2.55,,,,,
2,510100,Chengdu,62,-0.85,16.85,-0.71,8.31,5.78,,,,,
2,510400,Panzhihua,1,0.88,-17.83,-0.71,-7,-1.82,,,,,
2,510500,Luzhou,5,-1.73,-17.42,-0.76,-3.71,-1.95,,,,,
2,510600,Deyang,6,-1.4,-17.22,0.65,-6.61,2.89,,,,,
2,510700,Mianyang,9,-1.58,-17.31,-0.78,-3.9,-1.95,,,,,
2,510800,Guangyuan,2,-1.74,-17.5,-0.12,-6.32,-1.92,,,,,
2,510900,Suining,4,-2.1,-17.12,0.08,-5.92,3.48,,,,,
2,511000,Neijiang,6,-1.79,-17.21,-0.1,-6.02,2.39,,,,,
2,511100,Leshan,2,-1.2,-17.58,0.58,-7.04,-1.92,,,,,
